RestaurantName,Style,Price,Address,Average Rating
Casablanca Moroccan kitchens,Mediterranean,,"6919 Melrose Ave Los Angeles, CA 90038",4.7
Jail Joa,Korean,$$,"2500 W 8th St Ste 180 Los Angeles, CA 90057",4.6
Seong Buk Dong,Korean,$$,"3303 W 6th St Los Angeles, CA 90020",4.1
Sanamluang Cafe Hollywood,Thai,$$,"5176 Hollywood Blvd Los Angeles, CA 90027",3.8
Bolt,Breakfast & Brunch,$$,"5648 Hollywood Blvd Los Angeles, CA 90028",4.3
Baar Baar,Indian,,"705 W 9th St Los Angeles, CA 90015",4.4
A Food Affair,French,$$$,"1513 S Robertson Blvd Los Angeles, CA 90035",4.5
Cabra Los Angeles,Peruvian,$$$,"1060 S Broadway Los Angeles, CA 90015",4.4
Di Di,Vietnamese,,"755 N La Cienega Blvd West Hollywood, CA 90069",3.8
Chibiscus Asian Cafe,Asian Fusion,$$,"7361 W Sunset Blvd Los Angeles, CA 90046",4.2
Heng Heng Chicken Rice,Thai,$$,"5420 Hollywood Blvd Los Angeles, CA 90027",4.5
Saikai Ramen Bar,Ramen,$$,"209 N Western Ave Unit B Los Angeles, CA 90004",4.7
Reunion Hollywood,Italian,,"1538 N El Centro Ave Fl 2 Los Angeles, CA 90028",5
Blu Jam Café,American (New),$$,"7371 Melrose Ave Los Angeles, CA 90046",4.2
Durango Cantina,Mexican,,"7661 Melrose Ave Los Angeles, CA 90046",4.3
Taberu,Ramen,,"806 E 3rd St Unit 140 Los Angeles, CA 90013",4.2
Wood & Vine,American (New),$$,"6280 Hollywood Blvd Los Angeles, CA 90028",3.7
Qianlixiang Hot Pot,Mediterranean,,"3377 Wilshire Blvd Ste 110 Los Angeles, CA 90010",4.6
Liu's Cafe,Cafes,,"3915 1/2 W 6th St Los Angeles, CA 90020",5
Spaccio Salumeria by Truffle Brothers,Italian,$$,"4073 W Washington Blvd Los Angeles, CA 90018",4.8
AOC,American (New),$$$,"8700 W 3rd St Los Angeles, CA 90048",3.9
Saltie Girl,Seafood,,"8615 W Sunset Blvd West Hollywood, CA 90069",4
Jones,Italian,$$,"7205 Santa Monica Blvd West Hollywood, CA 90046",4
Formosa Cafe,Asian Fusion,$$,"7156 Santa Monica Blvd West Hollywood, CA 90046",3.9
Hollywood Thai,Thai,$$,"5241 Hollywood Blvd Los Angeles, CA 90027",3.8
ixlb DimSum Eats- Hollywood,Dim Sum,$$,"5900 Sunset Blvd Los Angeles, CA 90028",4.4
Tsukemen Aizen,Ramen,,"232 E 2nd St Ste B Los Angeles, CA 90012",4.6
Needle,Chinese,$$,"3827 W Sunset Blvd Ste C Los Angeles, CA 90026",4.6
Colibri - West Hollywood,Peruvian,,"514 N La Cienega Blvd West Hollywood, CA 90048",4.8
The Kitchen,American (New),$$,"4348 Fountain Ave Los Angeles, CA 90029",4.2
My Two Cents,Southern,$$,"5583 W Pico Blvd Los Angeles, CA 90019",4.5
SHIN,Ramen,$$,"1655 N La Brea Ave Los Angeles, CA 90028",4.1
Bar Moruno,Spanish,$$,"3705 Sunset Blvd Los Angeles, CA 90026",4.2
La Bohème,American (New),$$$,Verified by Business,4.4
Carlitos Gardel Argentine Steakhouse,Argentine,$$$$,"7963 Melrose Ave Los Angeles, CA 90046",4.4
Mun Patio,Korean,,"3519 W 6th St Los Angeles, CA 90020",4.8
Kuya Lord,Filipino,$$,"5003 Melrose Ave Los Angeles, CA 90038",4.4
Angry Chickz,Southern,$$,"5065 Hollywood Blvd Ste 102 Los Angeles, CA 90027",4.7
Phenakite,Diners,$$$$,"1370 N St Andrews Pl Los Angeles, CA 90028",4.4
Egg Tuck - West Hollywood,Breakfast & Brunch,$$,"7131 W Sunset Blvd unit B West Hollywood, CA 90046",4.5
Found Oyster,Seafood,,"4880 Fountain Ave Los Angeles, CA 90029",4.4
H Cafe,Breakfast & Brunch,$$,"3200 W 8th St Los Angeles, CA 90005",4.2
Hearts & Flame,Italian,$$$,"225-227 S Garey St Los Angeles, CA 90012",4.1
Kismet,Mediterranean,$$,"4648 Hollywood Blvd Los Angeles, CA 90027",3.8
HanShik Express,Korean,$$,"3959 Wilshire Blvd Ste A3 Los Angeles, CA 90010",4.5
HATCH,Japanese,$$,"700 W 7th St Ste G600 Los Angeles, CA 90017",4.2
Wolvesmouth at the Wolvesden,American (New),$$$$,,4.8
Poppy + Rose,Breakfast & Brunch,$$,"765 Wall St Los Angeles, CA 90014",4
Sidewalk Grill,Mediterranean,$$,"1727 N Vermont Ave Ste 102 Los Angeles, CA 90027",4.3
Nossa Caipirinha Bar,Brazilian,,"1966 Hillhurst Ave Los Angeles, CA 90027",4.4
The Barn Cafe & Restaurant,Cafes,$$,"228 S Oxford Ave Los Angeles, CA 90004",4.1
Bang Bang Noodles,Ramen,$$,"9355 Culver Blvd Ste J Culver City, CA 90232",3.8
Love Hour,Burgers,$$,"532 S Western Ave Los Angeles, CA 90020",4.8
