RestaurantName,Style,Price,Address,Average Rating
Casablanca Moroccan kitchens,"Moroccan, Mediterranean, Halal",,"6919 Melrose Ave Los Angeles, CA 90038",4.7
Jail Joa,"Gastropubs, Korean, Soup",$$,"2500 W 8th St Ste 180 Los Angeles, CA 90057",4.6
Seong Buk Dong,Korean,$$,"3303 W 6th St Los Angeles, CA 90020",4.1
Sanamluang Cafe Hollywood,Thai,$$,"5176 Hollywood Blvd Los Angeles, CA 90027",3.8
Bolt,"Coffee & Tea, Breakfast & Brunch, Burgers",$$,"5648 Hollywood Blvd Los Angeles, CA 90028",4.3
Baar Baar,Indian,,"705 W 9th St Los Angeles, CA 90015",4.4
A Food Affair,French,$$$,"1513 S Robertson Blvd Los Angeles, CA 90035",4.5
Cabra Los Angeles,Peruvian,$$$,"1060 S Broadway Los Angeles, CA 90015",4.4
Di Di,Vietnamese,,"755 N La Cienega Blvd West Hollywood, CA 90069",3.8
Chibiscus Asian Cafe,"Asian Fusion, Ramen",$$,"7361 W Sunset Blvd Los Angeles, CA 90046",4.2
Heng Heng Chicken Rice,"Chicken Shop, Thai, Smokehouse",$$,"5420 Hollywood Blvd Los Angeles, CA 90027",4.5
Saikai Ramen Bar,"Ramen, Izakaya, Tapas/Small Plates",$$,"209 N Western Ave Unit B Los Angeles, CA 90004",4.7
Reunion Hollywood,"Bars, Italian",,"1538 N El Centro Ave Fl 2 Los Angeles, CA 90028",5
Blu Jam Café,"American (New), Breakfast & Brunch, Sandwiches",$$,"7371 Melrose Ave Los Angeles, CA 90046",4.2
Durango Cantina,"Mexican, Cocktail Bars",,"7661 Melrose Ave Los Angeles, CA 90046",4.3
Taberu,"Ramen, Izakaya",,"806 E 3rd St Unit 140 Los Angeles, CA 90013",4.2
Wood & Vine,"American (New), Cocktail Bars",$$,"6280 Hollywood Blvd Los Angeles, CA 90028",3.7
Qianlixiang Hot Pot,"Kebab, Hot Pot",,"3377 Wilshire Blvd Ste 110 Los Angeles, CA 90010",4.6
Liu's Cafe,Cafes,,"3915 1/2 W 6th St Los Angeles, CA 90020",5
Spaccio Salumeria by Truffle Brothers,"Specialty Food, Italian",$$,"4073 W Washington Blvd Los Angeles, CA 90018",4.8
AOC,"Cocktail Bars, American (New), Tapas/Small Plates",$$$,"8700 W 3rd St Los Angeles, CA 90048",3.9
Saltie Girl,"Seafood, Cocktail Bars, Tapas/Small Plates",,"8615 W Sunset Blvd West Hollywood, CA 90069",4
Jones,"Italian, Pizza, Cocktail Bars",$$,"7205 Santa Monica Blvd West Hollywood, CA 90046",4
Formosa Cafe,"Asian Fusion, Cocktail Bars",$$,"7156 Santa Monica Blvd West Hollywood, CA 90046",3.9
Hollywood Thai,Thai,$$,"5241 Hollywood Blvd Los Angeles, CA 90027",3.8
ixlb DimSum Eats- Hollywood,"Dim Sum, Hong Kong Style Cafe",$$,"5900 Sunset Blvd Los Angeles, CA 90028",4.4
Tsukemen Aizen,"Ramen, Noodles",,"232 E 2nd St Ste B Los Angeles, CA 90012",4.6
